,size,method
0,17,susie_blip
1,16,susie_blip
2,20,susie_blip
3,1,susie_blip
4,1,susie_blip
5,3,susie_blip
6,1,susie_blip
7,1,susie_blip
8,1,susie_blip
9,4,susie_blip
10,24,susie_blip
11,2,susie_blip
12,2,susie_blip
13,1,susie_blip
14,7,susie_blip
15,1,susie_blip
16,4,susie_blip
17,1,susie_blip
18,4,susie_blip
19,1,susie_blip
20,4,susie_blip
21,14,susie_blip
22,1,susie_blip
23,1,susie_blip
24,14,susie_blip
25,2,susie_blip
26,1,susie_blip
27,1,susie_blip
28,1,susie_blip
29,1,susie_blip
30,1,susie_blip
31,11,susie_blip
32,20,susie_blip
33,11,susie_blip
34,3,susie_blip
35,2,susie_blip
36,4,susie_blip
37,11,susie_blip
38,1,susie_blip
39,4,susie_blip
40,1,susie_blip
41,23,susie_blip
42,3,susie_blip
43,21,susie_blip
44,7,susie_blip
45,2,susie_blip
46,12,susie_blip
47,25,susie_blip
48,17,susie_blip
49,24,susie_blip
50,1,susie_blip
51,4,susie_blip
52,5,susie_blip
53,5,susie_blip
54,24,susie_blip
55,19,susie_blip
56,10,susie_blip
57,25,susie_blip
58,22,susie_blip
59,19,susie_blip
60,4,susie_blip
61,1,susie_blip
62,11,susie_blip
63,2,susie_blip
64,10,susie_blip
65,8,susie_blip
66,18,susie_blip
67,6,susie_blip
68,7,susie_blip
69,1,susie_blip
70,17,susie_blip
71,12,susie_blip
72,2,susie_blip
73,8,susie_blip
74,1,susie_blip
75,23,susie_blip
76,3,susie_blip
77,3,susie_blip
78,15,susie_blip
79,21,susie_blip
80,6,susie_blip
81,3,susie_blip
82,3,susie_blip
83,6,susie_blip
84,8,susie_blip
85,12,susie_blip
86,23,susie_blip
87,19,susie_blip
88,16,susie_blip
89,15,susie_blip
90,6,susie_blip
91,6,susie_blip
92,13,susie_blip
93,18,susie_blip
94,18,susie_blip
95,22,susie_blip
96,20,susie_blip
97,25,susie_blip
98,8,susie_blip
99,17,susie_blip
100,24,susie_blip
101,3,susie_blip
102,24,susie_blip
103,2,susie_blip
104,2,susie_blip
105,25,susie_blip
106,3,susie_blip
107,2,susie_blip
108,1,susie_blip
109,25,susie_blip
110,17,susie_blip
111,1,susie_blip
112,1,susie_blip
113,1,susie_blip
114,2,susie_blip
115,7,susie_blip
116,25,susie_blip
117,8,susie_blip
118,1,susie_blip
119,2,susie_blip
120,3,susie_blip
121,5,susie_blip
122,3,susie_blip
123,12,susie_blip
124,1,susie_blip
125,2,susie_blip
126,13,susie_blip
127,2,susie_blip
128,1,susie_blip
129,1,susie_blip
130,9,susie_blip
131,1,susie_blip
132,3,susie_blip
133,4,susie_blip
134,4,susie_blip
135,1,susie_blip
136,1,susie_blip
137,1,susie_blip
138,1,susie_blip
139,2,susie_blip
140,2,susie_blip
141,2,susie_blip
142,1,susie_blip
143,1,susie_blip
144,2,susie_blip
145,4,susie_blip
0,20,susie
1,25,susie
2,15,susie
3,1,susie
4,4,susie
5,3,susie
6,8,susie
7,18,susie
8,13,susie
9,17,susie
10,23,susie
11,4,susie
12,2,susie
13,2,susie
14,8,susie
15,2,susie
16,18,susie
17,6,susie
18,9,susie
19,21,susie
20,4,susie
21,13,susie
22,1,susie
23,3,susie
24,24,susie
25,16,susie
26,6,susie
27,7,susie
28,2,susie
29,3,susie
30,4,susie
31,10,susie
32,1,susie
33,6,susie
34,5,susie
35,17,susie
36,19,susie
37,2,susie
38,2,susie
39,13,susie
40,1,susie
41,11,susie
42,11,susie
43,21,susie
44,9,susie
45,4,susie
46,25,susie
47,17,susie
48,1,susie
49,1,susie
50,6,susie
51,6,susie
52,5,susie
53,1,susie
54,18,susie
55,1,susie
56,2,susie
57,19,susie
58,7,susie
59,12,susie
60,10,susie
61,16,susie
62,9,susie
63,1,susie
64,3,susie
65,1,susie
66,3,susie
67,4,susie
68,9,susie
69,13,susie
70,1,susie
71,2,susie
72,8,susie
73,1,susie
74,23,susie
75,21,susie
76,5,susie
77,3,susie
78,1,susie
79,1,susie
80,3,susie
81,6,susie
82,20,susie
83,13,susie
84,4,susie
85,6,susie
86,4,susie
87,1,susie
88,6,susie
89,4,susie
90,7,susie
91,2,susie
92,2,susie
93,11,susie
94,1,susie
95,1,susie
96,1,susie
97,15,susie
98,1,susie
99,8,susie
100,1,susie
101,1,susie
102,10,susie
103,4,susie
104,12,susie
105,2,susie
106,3,susie
107,18,susie
108,3,susie
109,18,susie
110,3,susie
111,1,susie
112,2,susie
113,18,susie
114,21,susie
115,2,susie
116,3,susie
117,10,susie
118,5,susie
119,2,susie
120,18,susie
121,22,susie
122,16,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
3,1,susie-indiv-only
4,1,susie-indiv-only
5,1,susie-indiv-only
6,1,susie-indiv-only
7,1,susie-indiv-only
8,1,susie-indiv-only
9,1,susie-indiv-only
10,1,susie-indiv-only
11,1,susie-indiv-only
12,1,susie-indiv-only
13,1,susie-indiv-only
14,1,susie-indiv-only
15,1,susie-indiv-only
16,1,susie-indiv-only
17,1,susie-indiv-only
18,1,susie-indiv-only
19,1,susie-indiv-only
20,1,susie-indiv-only
21,1,susie-indiv-only
22,1,susie-indiv-only
23,1,susie-indiv-only
24,1,susie-indiv-only
25,1,susie-indiv-only
26,1,susie-indiv-only
27,1,susie-indiv-only
28,1,susie-indiv-only
29,1,susie-indiv-only
30,1,susie-indiv-only
31,1,susie-indiv-only
32,1,susie-indiv-only
0,1,susie_blip
1,1,susie_blip
2,1,susie_blip
3,1,susie_blip
4,1,susie_blip
5,1,susie_blip
6,1,susie_blip
7,1,susie_blip
8,1,susie_blip
9,1,susie_blip
10,1,susie_blip
11,1,susie_blip
12,1,susie_blip
13,1,susie_blip
14,1,susie_blip
15,1,susie_blip
16,1,susie_blip
17,1,susie_blip
18,1,susie_blip
19,1,susie_blip
20,1,susie_blip
21,1,susie_blip
22,1,susie_blip
23,1,susie_blip
24,1,susie_blip
25,1,susie_blip
26,1,susie_blip
27,1,susie_blip
28,1,susie_blip
29,1,susie_blip
30,1,susie_blip
31,1,susie_blip
32,1,susie_blip
33,1,susie_blip
34,1,susie_blip
35,1,susie_blip
36,1,susie_blip
37,1,susie_blip
38,1,susie_blip
39,1,susie_blip
40,1,susie_blip
41,1,susie_blip
42,1,susie_blip
43,1,susie_blip
44,1,susie_blip
45,1,susie_blip
46,2,susie_blip
47,2,susie_blip
48,2,susie_blip
49,2,susie_blip
50,2,susie_blip
51,2,susie_blip
52,2,susie_blip
53,2,susie_blip
54,2,susie_blip
55,2,susie_blip
56,2,susie_blip
57,2,susie_blip
58,3,susie_blip
59,3,susie_blip
60,3,susie_blip
61,3,susie_blip
62,3,susie_blip
63,3,susie_blip
64,3,susie_blip
65,4,susie_blip
66,4,susie_blip
67,4,susie_blip
68,4,susie_blip
69,4,susie_blip
70,4,susie_blip
71,4,susie_blip
72,4,susie_blip
73,5,susie_blip
74,5,susie_blip
75,5,susie_blip
76,6,susie_blip
77,6,susie_blip
78,6,susie_blip
79,6,susie_blip
80,6,susie_blip
81,6,susie_blip
82,7,susie_blip
83,7,susie_blip
84,8,susie_blip
85,8,susie_blip
86,8,susie_blip
87,8,susie_blip
88,8,susie_blip
89,9,susie_blip
90,10,susie_blip
91,11,susie_blip
92,12,susie_blip
93,12,susie_blip
94,12,susie_blip
95,12,susie_blip
96,13,susie_blip
97,13,susie_blip
98,13,susie_blip
99,13,susie_blip
100,13,susie_blip
101,13,susie_blip
102,14,susie_blip
103,14,susie_blip
104,14,susie_blip
105,14,susie_blip
106,15,susie_blip
107,15,susie_blip
108,16,susie_blip
109,16,susie_blip
110,17,susie_blip
111,18,susie_blip
112,19,susie_blip
113,19,susie_blip
114,20,susie_blip
115,21,susie_blip
116,21,susie_blip
117,21,susie_blip
