,size,method
0,1,susie_blip
1,1,susie_blip
2,1,susie_blip
3,1,susie_blip
4,1,susie_blip
5,16,susie_blip
6,1,susie_blip
7,1,susie_blip
8,11,susie_blip
9,1,susie_blip
10,13,susie_blip
11,6,susie_blip
12,11,susie_blip
13,14,susie_blip
14,14,susie_blip
15,20,susie_blip
16,17,susie_blip
17,5,susie_blip
18,6,susie_blip
19,1,susie_blip
20,1,susie_blip
21,25,susie_blip
22,9,susie_blip
23,1,susie_blip
24,1,susie_blip
25,2,susie_blip
26,17,susie_blip
0,3,susie
1,13,susie
2,14,susie
3,5,susie
4,1,susie
5,1,susie
6,1,susie
7,1,susie
8,1,susie
9,2,susie
10,11,susie
11,14,susie
12,14,susie
13,20,susie
14,5,susie
15,17,susie
16,1,susie
17,1,susie
18,2,susie
19,10,susie
20,6,susie
21,6,susie
22,4,susie
23,1,susie
24,15,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
3,1,susie-indiv-only
4,1,susie-indiv-only
5,1,susie-indiv-only
6,1,susie-indiv-only
7,1,susie-indiv-only
8,1,susie-indiv-only
9,1,susie-indiv-only
10,1,susie-indiv-only
0,8,susie_blip
1,1,susie_blip
2,1,susie_blip
3,15,susie_blip
4,15,susie_blip
5,17,susie_blip
6,16,susie_blip
7,25,susie_blip
8,2,susie_blip
9,22,susie_blip
10,4,susie_blip
11,16,susie_blip
12,13,susie_blip
13,25,susie_blip
14,11,susie_blip
15,1,susie_blip
16,1,susie_blip
17,1,susie_blip
18,3,susie_blip
19,7,susie_blip
0,15,susie
1,4,susie
2,2,susie
3,16,susie
4,1,susie
5,13,susie
6,21,susie
7,13,susie
8,7,susie
9,11,susie
10,14,susie
11,2,susie
12,1,susie
13,16,susie
14,15,susie
15,6,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
0,11,susie_blip
1,7,susie_blip
2,15,susie_blip
3,21,susie_blip
4,1,susie_blip
5,15,susie_blip
6,17,susie_blip
7,25,susie_blip
8,1,susie_blip
9,25,susie_blip
10,1,susie_blip
11,1,susie_blip
12,2,susie_blip
13,10,susie_blip
0,2,susie
1,10,susie
2,2,susie
3,17,susie
4,5,susie
5,15,susie
6,3,susie
7,1,susie
8,12,susie
9,18,susie
10,9,susie
11,7,susie
0,1,susie-indiv-only
0,1,susie_blip
1,1,susie_blip
2,1,susie_blip
3,3,susie_blip
4,6,susie_blip
5,10,susie_blip
6,25,susie_blip
7,25,susie_blip
8,25,susie_blip
0,7,susie
1,20,susie
2,1,susie
3,9,susie
4,1,susie
5,1,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
0,1.0,susie_blip
1,1.0,susie_blip
2,1.0,susie_blip
3,4.0,susie_blip
4,5.0,susie_blip
5,7.0,susie_blip
6,9.0,susie_blip
7,10.0,susie_blip
8,10.0,susie_blip
9,25.0,susie_blip
10,25.0,susie_blip
11,2.0,susie_blip
12,21.0,susie_blip
0,4.0,susie
1,12.0,susie
2,8.0,susie
3,5.0,susie
4,3.0,susie
5,8.0,susie
6,25.0,susie
7,2.0,susie
8,7.0,susie
9,21.0,susie
10,3.0,susie
0,6.0,susie_blip
1,18.0,susie_blip
2,1.0,susie_blip
3,3.0,susie_blip
4,22.0,susie_blip
5,17.0,susie_blip
6,25.0,susie_blip
7,24.0,susie_blip
8,25.0,susie_blip
9,18.0,susie_blip
10,21.0,susie_blip
11,2.0,susie_blip
12,1.0,susie_blip
13,1.0,susie_blip
14,2.0,susie_blip
0,15.0,susie
1,2.0,susie
2,15.0,susie
3,1.0,susie
4,21.0,susie
5,2.0,susie
6,18.0,susie
7,18.0,susie
8,2.0,susie
9,21.0,susie
10,17.0,susie
11,3.0,susie
12,11.0,susie
0,1.0,susie_blip
1,2.0,susie_blip
2,2.0,susie_blip
3,3.0,susie_blip
4,4.0,susie_blip
5,4.0,susie_blip
6,4.0,susie_blip
7,5.0,susie_blip
8,5.0,susie_blip
9,7.0,susie_blip
10,9.0,susie_blip
11,14.0,susie_blip
12,15.0,susie_blip
13,24.0,susie_blip
14,7.0,susie_blip
0,5.0,susie
1,24.0,susie
2,4.0,susie
3,1.0,susie
4,15.0,susie
5,12.0,susie
6,9.0,susie
7,11.0,susie
8,4.0,susie
9,3.0,susie
10,7.0,susie
11,4.0,susie
0,1,susie_blip
1,1,susie_blip
2,1,susie_blip
3,1,susie_blip
4,4,susie_blip
5,1,susie_blip
6,1,susie_blip
7,1,susie_blip
8,13,susie_blip
9,1,susie_blip
10,1,susie_blip
11,1,susie_blip
12,24,susie_blip
13,1,susie_blip
